,Links,Class
153,studentjob.vn,col-main-content
154,pixta.vn,careers_jobCardContainer__2UnZD
155,careers.chubb.com,jd-info au-target
156,tuyendung.bitis.com.vn,
157,jobs.mercedes-benz.com,panel-group accordion
158,www.orientsoftware.com,job-details__content text-left
159,career.gs25.com.vn,content-article
160,synnex.wd5.myworkdayjobs.com,
161,careers.jabil.com,cms-content
162,cjfoods.com.vn,text-20 mb-5
163,itfinder.vn,job_description
164,mangtas.applytojob.com,col col-xs-7 description
165,www.cathaylife.com.vn,content text-black
166,group.lazada.com,row align-items-start pr-lg-5
167,institute.vinbigdata.org,progress-area
168,datajobs.com,jobpost-table-cell-2
169,www.hclvietnam.com,container
170,fss.com.vn,content-detail
171,snaphunt.com,MuiGrid-root MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-sm-8
172,www.cel-consulting.com,
173,taptap.com.vn,elementor-widget-container
174,talents.fiingroup.vn,col-md-10 full-content box-light
175,nois.vn,elementor-widget-wrap elementor-element-populated
176,customore.freshteam.com,job-details-content content
177,www.stickermule.com,jsx-d1b9c5c517de7bbb
178,xpon.bamboohr.com,desc
179,jobs.sea.deloitte.com,col-xs-12 fontalign-left
180,tuyendung.baovietnhantho.com.vn,work-dt
181,jobs.iqvia.com,ats-description
182,www.codix.eu,container
183,vieclam.f88.vn,box_left
184,adstartmedia.zohorecruit.com,cw-jobdescription clearfix
185,grab.careers,content
186,www.onpoint.vn,job-description
187,aloha1975.com,elementor-widget-wrap elementor-element-populated
188,www.jac-recruitment.vn,col-sm-12 col-md-12 col-lg-8
189,ierp.vn,entry-content single-page
190,nicvn.com,job-detail-description
191,icomm.vn,content-container
192,vn.savills.com.vn,vx_drag vx_blocks_file_blocks_sv-4
193,www.hr1vietnam.com,article-content
194,www.comitcorp.com,field-item even
195,phenikaa-x.com,awsm-job-entry-content entry-content
196,tuyendung.vnptmoney.vn,job-item
197,tuyendung.hdsaison.com.vn,itemCon
198,scigroup.com.vn,content-group
199,tuyendung.9pay.vn,page_careerDetail__des
200,deep-ivy-ltd.breezy.hr,description
201,talentvis.com,card shadow-lg px-4 py-4
202,gfg.applytojob.com,col col-xs-7 description
203,www.aitomatic.com,container-default w-container
204,supercell.com,Grid_rowContainer__XoN4O
205,waverleysoftware.com,col-12 col-lg-7
206,www.supercoder.co,job-item
207,evizi.com,resp-tabs-container
